MNXM	Name
MNXM1094276	tellurite
MNXM1101279	adenosylcob(III)inamide-GDP
MNXM1101937	Aerobactin
MNXM1103700	Mo-molybdopterin cytosine dinucleotide
MNXM1103715	adenosylcob(III)inamide
MNXM1104368	Mo-molybdopterin
MNXM1104551	adenosylcob(III)alamin
MNXM1104756	cob(I)alamin
MNXM1104857	siroheme
MNXM1104880	adenosylcob(III)inamide phosphate
MNXM1107419	[2Fe-2S](2+)
MNXM1107744	Fe(II)-heme o
MNXM1107801	Fe(III)dicitrate
MNXM1157	selenite
MNXM128	Ca(2+)
MNXM1339	selenophosphate
MNXM1562	Hg(2+)
MNXM2255	Mn(2+)
MNXM2282	selenate
MNXM249	heme b
MNXM27	Na(+)
MNXM653	Mg(2+)
MNXM726092	molybdate
MNXM726711	Fe(2+)
MNXM726712	Fe(3+)
MNXM726879	Coprogen
MNXM727045	Ferric 2,3-dihydroxybenzoylserine
MNXM727888	Ag(+)
MNXM729215	Zn(2+)
MNXM729643	cob(I)inamide
MNXM730514	Ferroxamine
MNXM730707	Fe-enterobactin
MNXM731166	Cu(2+)
MNXM731950	Ni(2+)
MNXM732007	[4Fe-4S](2+) cluster
MNXM733186	Cd(2+)
MNXM733434	Ferrichrome
MNXM734750	Cu(+)
MNXM738412	Fe(III)hydroxamate
MNXM739275	arsenous acid
MNXM741004	tungstate
MNXM741486	hydrogenselenide
MNXM90960	Co(2+)
MNXM95	K(+)
MNXM970	arsenate